,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-60.0,-6.0,42.0,9.811979058604258,4050
1,1a,-63.0,6.0,36.0,8.601922229480548,
2,1b,-63.0,0.0,42.0,8.435063042967792,
3,1c,-48.0,-15.0,39.0,8.364057638404038,
4,2,60.0,0.0,36.0,9.605127549982539,1512
5,2a,45.0,-12.0,42.0,7.590199981503949,
6,3,63.0,12.0,27.0,8.253889390034741,972
7,3a,51.0,3.0,30.0,6.968355066469064,
8,3b,54.0,9.0,39.0,3.5656092432065902,
9,4,36.0,-3.0,15.0,8.087451045337867,1188
10,5,-63.0,-18.0,27.0,5.807509640212721,594
11,5a,-63.0,-21.0,42.0,5.6463517798421226,
12,5b,-60.0,-21.0,33.0,5.416271266564935,
13,6,45.0,-18.0,57.0,5.710963224019527,702
14,6a,36.0,-12.0,57.0,5.633745580281288,
15,6b,30.0,-9.0,66.0,4.796134558157939,
16,6c,36.0,-15.0,69.0,4.254544454778657,
17,7,-12.0,-15.0,93.0,5.522476630567715,621
18,7a,-6.0,-15.0,99.0,4.713851659048385,
19,7b,-3.0,-18.0,90.0,4.270732713403827,
20,7c,-18.0,-12.0,96.0,4.085567578087783,
21,8,-24.0,-24.0,90.0,5.331805598633116,648
22,8a,-36.0,-24.0,90.0,4.700088130980076,
23,8b,-12.0,-24.0,90.0,4.03784549280787,
24,8c,-36.0,-24.0,84.0,3.5274766193264786,
25,9,-15.0,-60.0,66.0,4.835098715015046,837
26,9a,-15.0,-60.0,57.0,4.615642180514647,
27,9b,-6.0,-63.0,63.0,4.091568014933535,
